CA,Health_board
Clackmannanshire,Forth Valley
Dumfries & Galloway,Dumfries & Galloway
East Ayrshire,Ayrshire & Arran
East Lothian,Lothian
East Renfrewshire,Greater Glasgow & Clyde
Na h-Eileanan Siar,Western Isles
Falkirk,Forth Valley
Highland,Highland
Inverclyde,Greater Glasgow & Clyde
Midlothian,Lothian
Moray,Grampian
North Ayrshire,Ayrshire & Arran
Orkney Islands,Orkney
Scottish Borders,Borders
Shetland Islands,Shetland
South Ayrshire,Ayrshire & Arran
South Lanarkshire,Lanarkshire
Stirling,Forth Valley
Aberdeen City,Grampian
Aberdeenshire,Grampian
Argyll & Bute,Highland
City of Edinburgh,Lothian
Renfrewshire,Greater Glasgow & Clyde
West Dunbartonshire,Greater Glasgow & Clyde
West Lothian,Lothian
Angus,Tayside
Dundee City,Tayside
East Dunbartonshire,Greater Glasgow & Clyde
Fife,Fife
Perth & Kinross,Tayside
Glasgow City,Greater Glasgow & Clyde
North Lanarkshire,Lanarkshire