Council area,Year,Type,Number,,,,,,,
Aberdeen City,2017,Detached,12852,,,,,,,
Aberdeen City,2017,Flat,64514,,,,,,,
Aberdeen City,2017,Not known,0,,,,,,,
Aberdeen City,2017,Semi-detached,19267,,,,,,,
Aberdeen City,2017,Terrace,20709,,,,,,,
Aberdeen City,2017,Total,117342,,,,,,,
Aberdeenshire,2017,Detached,54916,,,,,,,
Aberdeenshire,2017,Flat,14702,,,,,,,
Aberdeenshire,2017,Not known,0,,,,,,,
Aberdeenshire,2017,Semi-detached,33874,,,,,,,
Aberdeenshire,2017,Terrace,14171,,,,,,,
Aberdeenshire,2017,Total,117663,,,,,,,
Angus,2017,Detached,18326,,,,,,,
Angus,2017,Flat,13968,,,,,,,
Angus,2017,Not known,703,,,,,,,
Angus,2017,Semi-detached,11227,,,,,,,
Angus,2017,Terrace,12044,,,,,,,
Angus,2017,Total,56268,,,,,,,
Argyll and Bute,2017,Detached,16387,,,,,,,
Argyll and Bute,2017,Flat,15134,,,,,,,
Argyll and Bute,2017,Not known,471,,,,,,,
Argyll and Bute,2017,Semi-detached,8994,,,,,,,
Argyll and Bute,2017,Terrace,6988,,,,,,,
Argyll and Bute,2017,Total,47974,,,,,,,
City of Edinburgh,2017,Detached,24215,,,,,,,
City of Edinburgh,2017,Flat,168500,,,,,,,
City of Edinburgh,2017,Not known,222,,,,,,,
City of Edinburgh,2017,Semi-detached,24751,,,,,,,
City of Edinburgh,2017,Terrace,30671,,,,,,,
City of Edinburgh,2017,Total,248359,,,,,,,
Clackmannanshire,2017,Detached,5428,,,,,,,
Clackmannanshire,2017,Flat,6439,,,,,,,
Clackmannanshire,2017,Not known,747,,,,,,,
Clackmannanshire,2017,Semi-detached,5665,,,,,,,
Clackmannanshire,2017,Terrace,6185,,,,,,,
Clackmannanshire,2017,Total,24464,,,,,,,
Dumfries and Galloway,2017,Detached,25115,,,,,,,
Dumfries and Galloway,2017,Flat,10720,,,,,,,
Dumfries and Galloway,2017,Not known,254,,,,,,,
Dumfries and Galloway,2017,Semi-detached,19139,,,,,,,
Dumfries and Galloway,2017,Terrace,19511,,,,,,,
Dumfries and Galloway,2017,Total,74739,,,,,,,
Dundee City,2017,Detached,8317,,,,,,,
Dundee City,2017,Flat,37594,,,,,,,
Dundee City,2017,Not known,1255,,,,,,,
Dundee City,2017,Semi-detached,13971,,,,,,,
Dundee City,2017,Terrace,13319,,,,,,,
Dundee City,2017,Total,74456,,,,,,,
East Ayrshire,2017,Detached,11793,,,,,,,
East Ayrshire,2017,Flat,14412,,,,,,,
East Ayrshire,2017,Not known,35,,,,,,,
East Ayrshire,2017,Semi-detached,16746,,,,,,,
East Ayrshire,2017,Terrace,15321,,,,,,,
East Ayrshire,2017,Total,58307,,,,,,,
East Dunbartonshire,2017,Detached,14523,,,,,,,
East Dunbartonshire,2017,Flat,9623,,,,,,,
East Dunbartonshire,2017,Not known,130,,,,,,,
East Dunbartonshire,2017,Semi-detached,15152,,,,,,,
East Dunbartonshire,2017,Terrace,7083,,,,,,,
East Dunbartonshire,2017,Total,46511,,,,,,,
East Lothian,2017,Detached,10589,,,,,,,
East Lothian,2017,Flat,13255,,,,,,,
East Lothian,2017,Not known,43,,,,,,,
East Lothian,2017,Semi-detached,10831,,,,,,,
East Lothian,2017,Terrace,12917,,,,,,,
East Lothian,2017,Total,47635,,,,,,,
East Renfrewshire,2017,Detached,10974,,,,,,,
East Renfrewshire,2017,Flat,9813,,,,,,,
East Renfrewshire,2017,Not known,89,,,,,,,
East Renfrewshire,2017,Semi-detached,11262,,,,,,,
East Renfrewshire,2017,Terrace,6617,,,,,,,
East Renfrewshire,2017,Total,38755,,,,,,,
Falkirk,2017,Detached,14424,,,,,,,
Falkirk,2017,Flat,22239,,,,,,,
Falkirk,2017,Not known,3135,,,,,,,
Falkirk,2017,Semi-detached,17013,,,,,,,
Falkirk,2017,Terrace,17647,,,,,,,
Falkirk,2017,Total,74458,,,,,,,
Fife,2017,Detached,40882,,,,,,,
Fife,2017,Flat,48747,,,,,,,
Fife,2017,Not known,977,,,,,,,
Fife,2017,Semi-detached,36321,,,,,,,
Fife,2017,Terrace,49526,,,,,,,
Fife,2017,Total,176453,,,,,,,
Glasgow City,2017,Detached,11866,,,,,,,
Glasgow City,2017,Flat,225204,,,,,,,
Glasgow City,2017,Not known,1325,,,,,,,
Glasgow City,2017,Semi-detached,34350,,,,,,,
Glasgow City,2017,Terrace,37466,,,,,,,
Glasgow City,2017,Total,310211,,,,,,,
Highland,2017,Detached,48690,,,,,,,
Highland,2017,Flat,15698,,,,,,,
Highland,2017,Not known,4064,,,,,,,
Highland,2017,Semi-detached,28074,,,,,,,
Highland,2017,Terrace,21081,,,,,,,
Highland,2017,Total,117607,,,,,,,
Inverclyde,2017,Detached,4526,,,,,,,
Inverclyde,2017,Flat,18959,,,,,,,
Inverclyde,2017,Not known,100,,,,,,,
Inverclyde,2017,Semi-detached,7200,,,,,,,
Inverclyde,2017,Terrace,8091,,,,,,,
Inverclyde,2017,Total,38876,,,,,,,
Midlothian,2017,Detached,8327,,,,,,,
Midlothian,2017,Flat,9364,,,,,,,
Midlothian,2017,Not known,50,,,,,,,
Midlothian,2017,Semi-detached,9684,,,,,,,
Midlothian,2017,Terrace,12740,,,,,,,
Midlothian,2017,Total,40165,,,,,,,
Moray,2017,Detached,16709,,,,,,,
Moray,2017,Flat,6036,,,,,,,
Moray,2017,Not known,0,,,,,,,
Moray,2017,Semi-detached,13709,,,,,,,
Moray,2017,Terrace,8520,,,,,,,
Moray,2017,Total,44974,,,,,,,
Na h-Eileanan Siar,2017,Detached,9350,,,,,,,
Na h-Eileanan Siar,2017,Flat,745,,,,,,,
Na h-Eileanan Siar,2017,Not known,993,,,,,,,
Na h-Eileanan Siar,2017,Semi-detached,2221,,,,,,,
Na h-Eileanan Siar,2017,Terrace,1415,,,,,,,
Na h-Eileanan Siar,2017,Total,14724,,,,,,,
North Ayrshire,2017,Detached,13780,,,,,,,
North Ayrshire,2017,Flat,18470,,,,,,,
North Ayrshire,2017,Not known,295,,,,,,,
North Ayrshire,2017,Semi-detached,14287,,,,,,,
North Ayrshire,2017,Terrace,21187,,,,,,,
North Ayrshire,2017,Total,68019,,,,,,,
North Lanarkshire,2017,Detached,25479,,,,,,,
North Lanarkshire,2017,Flat,50046,,,,,,,
North Lanarkshire,2017,Not known,192,,,,,,,
North Lanarkshire,2017,Semi-detached,31424,,,,,,,
North Lanarkshire,2017,Terrace,47308,,,,,,,
North Lanarkshire,2017,Total,154449,,,,,,,
Orkney Islands,2017,Detached,6719,,,,,,,
Orkney Islands,2017,Flat,775,,,,,,,
Orkney Islands,2017,Not known,15,,,,,,,
Orkney Islands,2017,Semi-detached,2478,,,,,,,
Orkney Islands,2017,Terrace,1241,,,,,,,
Orkney Islands,2017,Total,11228,,,,,,,
Perth and Kinross,2017,Detached,27307,,,,,,,
Perth and Kinross,2017,Flat,18048,,,,,,,
Perth and Kinross,2017,Not known,804,,,,,,,
Perth and Kinross,2017,Semi-detached,14858,,,,,,,
Perth and Kinross,2017,Terrace,11062,,,,,,,
Perth and Kinross,2017,Total,72079,,,,,,,
Renfrewshire,2017,Detached,12863,,,,,,,
Renfrewshire,2017,Flat,37620,,,,,,,
Renfrewshire,2017,Not known,268,,,,,,,
Renfrewshire,2017,Semi-detached,16404,,,,,,,
Renfrewshire,2017,Terrace,19546,,,,,,,
Renfrewshire,2017,Total,86701,,,,,,,
Scotland,2017,Detached,558911,,,,,,,
Scotland,2017,Flat,980290,,,,,,,
Scotland,2017,Not known,19427,,,,,,,
Scotland,2017,Semi-detached,511583,,,,,,,
Scotland,2017,Terrace,532963,,,,,,,
Scotland,2017,Total,2603174,,,,,,,
Scottish Borders,2017,Detached,16709,,,,,,,
Scottish Borders,2017,Flat,16163,,,,,,,
Scottish Borders,2017,Not known,655,,,,,,,
Scottish Borders,2017,Semi-detached,11975,,,,,,,
Scottish Borders,2017,Terrace,12724,,,,,,,
Scottish Borders,2017,Total,58226,,,,,,,
Shetland Islands,2017,Detached,6465,,,,,,,
Shetland Islands,2017,Flat,1005,,,,,,,
Shetland Islands,2017,Not known,0,,,,,,,
Shetland Islands,2017,Semi-detached,2928,,,,,,,
Shetland Islands,2017,Terrace,826,,,,,,,
Shetland Islands,2017,Total,11224,,,,,,,
South Ayrshire,2017,Detached,14179,,,,,,,
South Ayrshire,2017,Flat,15048,,,,,,,
South Ayrshire,2017,Not known,88,,,,,,,
South Ayrshire,2017,Semi-detached,13498,,,,,,,
South Ayrshire,2017,Terrace,12508,,,,,,,
South Ayrshire,2017,Total,55321,,,,,,,
South Lanarkshire,2017,Detached,31825,,,,,,,
South Lanarkshire,2017,Flat,45979,,,,,,,
South Lanarkshire,2017,Not known,478,,,,,,,
South Lanarkshire,2017,Semi-detached,30338,,,,,,,
South Lanarkshire,2017,Terrace,41823,,,,,,,
South Lanarkshire,2017,Total,150443,,,,,,,
Stirling,2017,Detached,12102,,,,,,,
Stirling,2017,Flat,10758,,,,,,,
Stirling,2017,Not known,1856,,,,,,,
Stirling,2017,Semi-detached,8906,,,,,,,
Stirling,2017,Terrace,7704,,,,,,,
Stirling,2017,Total,41326,,,,,,,
West Dunbartonshire,2017,Detached,4070,,,,,,,
West Dunbartonshire,2017,Flat,23074,,,,,,,
West Dunbartonshire,2017,Not known,131,,,,,,,
West Dunbartonshire,2017,Semi-detached,8580,,,,,,,
West Dunbartonshire,2017,Terrace,9219,,,,,,,
West Dunbartonshire,2017,Total,45074,,,,,,,
West Lothian,2017,Detached,19204,,,,,,,
West Lothian,2017,Flat,17638,,,,,,,
West Lothian,2017,Not known,52,,,,,,,
West Lothian,2017,Semi-detached,16456,,,,,,,
West Lothian,2017,Terrace,25793,,,,,,,
West Lothian,2017,Total,79143,,,,,,,
,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,
