Council area,Year,Rate
Aberdeen City,2008-09,13.7038061
Aberdeen City,2009-10,12.53356392
Aberdeen City,2010-11,13.83619527
Aberdeen City,2011-12,8.212173758
Aberdeen City,2012-13,7.328136698
Aberdeen City,2013-14,6.168093657
Aberdeen City,2014-15,4.710223573
Aberdeen City,2015-16,-4.206642066
Aberdeen City,2016-17,-6.188811189
Aberdeen City,2017-18,-5.79188
Aberdeen City,2018-19,3.542222417
Aberdeenshire,2008-09,6.051722753
Aberdeenshire,2009-10,6.733484469
Aberdeenshire,2010-11,5.456337473
Aberdeenshire,2011-12,5.423383941
Aberdeenshire,2012-13,6.455367188
Aberdeenshire,2013-14,7.83403063
Aberdeenshire,2014-15,3.763933425
Aberdeenshire,2015-16,-1.351351351
Aberdeenshire,2016-17,-2.627960275
Aberdeenshire,2017-18,-2.29472
Aberdeenshire,2018-19,-1.466253206
Angus,2008-09,1.288861796
Angus,2009-10,3.075989949
Angus,2010-11,0.989672978
Angus,2011-12,2.219927723
Angus,2012-13,0.971708659
Angus,2013-14,5.52509851
Angus,2014-15,4.593669803
Angus,2015-16,0.581693755
Angus,2016-17,1.238390093
Angus,2017-18,1.706308
Angus,2018-19,4.242685026
Argyll and Bute,2008-09,-0.301844606
Argyll and Bute,2009-10,3.283683142
Argyll and Bute,2010-11,3.418418981
Argyll and Bute,2011-12,-2.6809343
Argyll and Bute,2012-13,-0.261215219
Argyll and Bute,2013-14,-3.137478608
Argyll and Bute,2014-15,-2.681551387
Argyll and Bute,2015-16,2.693060191
Argyll and Bute,2016-17,1.578159198
Argyll and Bute,2017-18,-0.93902
Argyll and Bute,2018-19,-0.768603703
City of Edinburgh,2008-09,12.65218893
City of Edinburgh,2009-10,17.17027706
City of Edinburgh,2010-11,16.83056451
City of Edinburgh,2011-12,8.217475084
City of Edinburgh,2012-13,6.150248225
City of Edinburgh,2013-14,6.690891375
City of Edinburgh,2014-15,12.55187346
City of Edinburgh,2015-16,15.35454381
City of Edinburgh,2016-17,9.914070264
City of Edinburgh,2017-18,8.912247
City of Edinburgh,2018-19,11.25102395
Clackmannanshire,2008-09,0.760382141
Clackmannanshire,2009-10,-1.46113384
Clackmannanshire,2010-11,-0.155339806
Clackmannanshire,2011-12,-4.992199688
Clackmannanshire,2012-13,-1.150546022
Clackmannanshire,2013-14,-1.601875366
Clackmannanshire,2014-15,2.764797508
Clackmannanshire,2015-16,0.23364486
Clackmannanshire,2016-17,2.351797862
Clackmannanshire,2017-18,-0.60311
Clackmannanshire,2018-19,2.949165697
Dumfries and Galloway,2008-09,2.011114051
Dumfries and Galloway,2009-10,0.787557909
Dumfries and Galloway,2010-11,2.48992801
Dumfries and Galloway,2011-12,-0.848581278
Dumfries and Galloway,2012-13,-0.039925472
Dumfries and Galloway,2013-14,2.227260603
Dumfries and Galloway,2014-15,2.204850671
Dumfries and Galloway,2015-16,2.632458074
Dumfries and Galloway,2016-17,2.158176944
Dumfries and Galloway,2017-18,2.574098
Dumfries and Galloway,2018-19,4.890501142
Dundee City,2008-09,6.330509058
Dundee City,2009-10,6.71641791
Dundee City,2010-11,9.694293478
Dundee City,2011-12,3.329273244
Dundee City,2012-13,2.086428089
Dundee City,2013-14,-0.081009924
Dundee City,2014-15,1.410161258
Dundee City,2015-16,1.1942514
Dundee City,2016-17,3.954004438
Dundee City,2017-18,2.366387
Dundee City,2018-19,5.518349853
East Ayrshire,2008-09,3.136516256
East Ayrshire,2009-10,0.245078017
East Ayrshire,2010-11,0.244518706
East Ayrshire,2011-12,-0.619245498
East Ayrshire,2012-13,-0.980151924
East Ayrshire,2013-14,-0.736919676
East Ayrshire,2014-15,0.507946911
East Ayrshire,2015-16,1.23709651
East Ayrshire,2016-17,0.14761358
East Ayrshire,2017-18,1.887722
East Ayrshire,2018-19,3.540693386
East Dunbartonshire,2008-09,-0.752667683
East Dunbartonshire,2009-10,-0.676706062
East Dunbartonshire,2010-11,-1
East Dunbartonshire,2011-12,2.455610125
East Dunbartonshire,2012-13,0.869236584
East Dunbartonshire,2013-14,8.518414394
East Dunbartonshire,2014-15,5.13275991
East Dunbartonshire,2015-16,6.600598355
East Dunbartonshire,2016-17,6.362711551
East Dunbartonshire,2017-18,3.41549
East Dunbartonshire,2018-19,3.902798233
East Lothian,2008-09,7.169005491
East Lothian,2009-10,6.001613879
East Lothian,2010-11,4.45356285
East Lothian,2011-12,7.802895102
East Lothian,2012-13,5.138573824
East Lothian,2013-14,6.974238417
East Lothian,2014-15,9.325570112
East Lothian,2015-16,9.315866084
East Lothian,2016-17,7.630675315
East Lothian,2017-18,10.88005
East Lothian,2018-19,11.88719768
East Renfrewshire,2008-09,0.800177817
East Renfrewshire,2009-10,4.081406924
East Renfrewshire,2010-11,2.973240833
East Renfrewshire,2011-12,2.076010545
East Renfrewshire,2012-13,5.888779635
East Renfrewshire,2013-14,9.630992317
East Renfrewshire,2014-15,6.746287928
East Renfrewshire,2015-16,8.812136862
East Renfrewshire,2016-17,10.10975095
East Renfrewshire,2017-18,5.474414
East Renfrewshire,2018-19,3.883596776
Falkirk,2008-09,3.66383503
Falkirk,2009-10,2.952172232
Falkirk,2010-11,6.5344
Falkirk,2011-12,2.270408163
Falkirk,2012-13,2.386103334
Falkirk,2013-14,2.63174583
Falkirk,2014-15,4.632083807
Falkirk,2015-16,5.932096428
Falkirk,2016-17,5.626678324
Falkirk,2017-18,2.669328
Falkirk,2018-19,4.537261483
Fife,2008-09,4.28875792
Fife,2009-10,4.980557624
Fife,2010-11,5.683000274
Fife,2011-12,1.701209688
Fife,2012-13,0.828563641
Fife,2013-14,1.769911504
Fife,2014-15,3.336231254
Fife,2015-16,4.368615518
Fife,2016-17,4.103282087
Fife,2017-18,3.344895
Fife,2018-19,6.165171998
Glasgow City,2008-09,6.858429903
Glasgow City,2009-10,5.200341006
Glasgow City,2010-11,9.054733079
Glasgow City,2011-12,1.925823853
Glasgow City,2012-13,0.73593509
Glasgow City,2013-14,3.413714896
Glasgow City,2014-15,9.631559851
Glasgow City,2015-16,13.13289574
Glasgow City,2016-17,8.679269589
Glasgow City,2017-18,8.55031
Glasgow City,2018-19,9.898597422
Highland,2008-09,4.327868852
Highland,2009-10,4.290729424
Highland,2010-11,3.858548533
Highland,2011-12,0.506676972
Highland,2012-13,0.399261581
Highland,2013-14,1.025399005
Highland,2014-15,4.76271838
Highland,2015-16,5.108709581
Highland,2016-17,3.456926609
Highland,2017-18,4.109705
Highland,2018-19,4.155535767
Inverclyde,2008-09,-4.395738949
Inverclyde,2009-10,-2.772665931
Inverclyde,2010-11,-3.558236887
Inverclyde,2011-12,-3.779898377
Inverclyde,2012-13,-1.991535972
Inverclyde,2013-14,-3.379647015
Inverclyde,2014-15,-1.710691824
Inverclyde,2015-16,-0.704402516
Inverclyde,2016-17,0.126968004
Inverclyde,2017-18,-2.27767
Inverclyde,2018-19,1.053984576
Midlothian,2008-09,5.702075702
Midlothian,2009-10,2.877610491
Midlothian,2010-11,6.25524266
Midlothian,2011-12,6.635802469
Midlothian,2012-13,6.799669461
Midlothian,2013-14,11.83020181
Midlothian,2014-15,11.29419842
Midlothian,2015-16,11.53450051
Midlothian,2016-17,14.10811411
Midlothian,2017-18,11.90059
Midlothian,2018-19,10.16655851
Moray,2008-09,4.336159708
Moray,2009-10,-0.096061479
Moray,2010-11,-1.73317642
Moray,2011-12,3.518777575
Moray,2012-13,6.316235693
Moray,2013-14,4.927719743
Moray,2014-15,4.292744215
Moray,2015-16,5.789969637
Moray,2016-17,0.031321779
Moray,2017-18,0.53392
Moray,2018-19,3.109997913
Na h-Eileanan Siar,2008-09,2.589350839
Na h-Eileanan Siar,2009-10,6.123188406
Na h-Eileanan Siar,2010-11,0.830624774
Na h-Eileanan Siar,2011-12,0.471698113
Na h-Eileanan Siar,2012-13,-0.693430657
Na h-Eileanan Siar,2013-14,-3.229357798
Na h-Eileanan Siar,2014-15,-0.184706317
Na h-Eileanan Siar,2015-16,-2.475064647
Na h-Eileanan Siar,2016-17,5.751391466
Na h-Eileanan Siar,2017-18,0.708163
Na h-Eileanan Siar,2018-19,1.871257485
North Ayrshire,2008-09,-0.848871799
North Ayrshire,2009-10,-1.197474418
North Ayrshire,2010-11,0.984864943
North Ayrshire,2011-12,-2.914879698
North Ayrshire,2012-13,-2.249160216
North Ayrshire,2013-14,-1.003810082
North Ayrshire,2014-15,0.440755161
North Ayrshire,2015-16,0.477484757
North Ayrshire,2016-17,2.592238015
North Ayrshire,2017-18,0.399172
North Ayrshire,2018-19,0.697639899
North Lanarkshire,2008-09,0.262561165
North Lanarkshire,2009-10,-1.254906625
North Lanarkshire,2010-11,-0.171739903
North Lanarkshire,2011-12,-0.802036166
North Lanarkshire,2012-13,-1.139795133
North Lanarkshire,2013-14,-0.25443787
North Lanarkshire,2014-15,0.413882812
North Lanarkshire,2015-16,2.903092296
North Lanarkshire,2016-17,2.159077539
North Lanarkshire,2017-18,1.613851
North Lanarkshire,2018-19,3.570905469
Orkney Islands,2008-09,4.202483286
Orkney Islands,2009-10,7.681432611
Orkney Islands,2010-11,4.621848739
Orkney Islands,2011-12,4.92336275
Orkney Islands,2012-13,3.710575139
Orkney Islands,2013-14,3.104726599
Orkney Islands,2014-15,4.614674665
Orkney Islands,2015-16,10.2907245
Orkney Islands,2016-17,9.272727273
Orkney Islands,2017-18,11.40153
Orkney Islands,2018-19,6.511001347
Perth and Kinross,2008-09,12.46796426
Perth and Kinross,2009-10,12.78159341
Perth and Kinross,2010-11,12.43445693
Perth and Kinross,2011-12,6.633274672
Perth and Kinross,2012-13,2.551262097
Perth and Kinross,2013-14,9.447391392
Perth and Kinross,2014-15,8.423931168
Perth and Kinross,2015-16,7.083305543
Perth and Kinross,2016-17,5.94308405
Perth and Kinross,2017-18,4.342653
Perth and Kinross,2018-19,6.798288911
Renfrewshire,2008-09,0.901629869
Renfrewshire,2009-10,2.550374208
Renfrewshire,2010-11,3.37149399
Renfrewshire,2011-12,-2.266207688
Renfrewshire,2012-13,-1.972511358
Renfrewshire,2013-14,2.135108764
Renfrewshire,2014-15,3.385655362
Renfrewshire,2015-16,9.246104491
Renfrewshire,2016-17,6.571283153
Renfrewshire,2017-18,7.542606
Renfrewshire,2018-19,8.47012842
Scotland,2008-09,4.667902674
Scotland,2009-10,4.955151838
Scotland,2010-11,5.699918866
Scotland,2011-12,2.397244806
Scotland,2012-13,1.869850029
Scotland,2013-14,3.288391054
Scotland,2014-15,5.205285688
Scotland,2015-16,5.898566909
Scotland,2016-17,4.413750995
Scotland,2017-18,3.843254
Scotland,2018-19,5.536214376
Scottish Borders,2008-09,3.706312175
Scottish Borders,2009-10,2.515612631
Scottish Borders,2010-11,4.285212504
Scottish Borders,2011-12,0.395708758
Scottish Borders,2012-13,2.704601335
Scottish Borders,2013-14,2.45527885
Scottish Borders,2014-15,3.814785583
Scottish Borders,2015-16,6.0510392
Scottish Borders,2016-17,7.111806642
Scottish Borders,2017-18,5.916544
Scottish Borders,2018-19,5.073153839
Shetland Islands,2008-09,8.907415533
Shetland Islands,2009-10,6.721595837
Shetland Islands,2010-11,2.538726334
Shetland Islands,2011-12,-2.92977165
Shetland Islands,2012-13,-3.836206897
Shetland Islands,2013-14,-0.215331611
Shetland Islands,2014-15,-1.551724138
Shetland Islands,2015-16,-0.646551724
Shetland Islands,2016-17,-5.762564991
Shetland Islands,2017-18,-3.26229
Shetland Islands,2018-19,-3.839441536
South Ayrshire,2008-09,1.537914481
South Ayrshire,2009-10,3.934280639
South Ayrshire,2010-11,5.275269959
South Ayrshire,2011-12,3.161530287
South Ayrshire,2012-13,3.588198813
South Ayrshire,2013-14,0.915311472
South Ayrshire,2014-15,2.766903915
South Ayrshire,2015-16,4.857651246
South Ayrshire,2016-17,6.123535676
South Ayrshire,2017-18,4.398045
South Ayrshire,2018-19,4.99955599
South Lanarkshire,2008-09,2.050099302
South Lanarkshire,2009-10,2.579985951
South Lanarkshire,2010-11,1.8700223
South Lanarkshire,2011-12,1.297998918
South Lanarkshire,2012-13,1.8392046
South Lanarkshire,2013-14,1.620678719
South Lanarkshire,2014-15,3.269772001
South Lanarkshire,2015-16,3.468994087
South Lanarkshire,2016-17,4.016720621
South Lanarkshire,2017-18,4.071845
South Lanarkshire,2018-19,5.728012979
Stirling,2008-09,3.49532078
Stirling,2009-10,11.23394752
Stirling,2010-11,11.30300011
Stirling,2011-12,8.504559938
Stirling,2012-13,2.773210567
Stirling,2013-14,5.10270979
Stirling,2014-15,15.21060002
Stirling,2015-16,10.90164817
Stirling,2016-17,3.563829787
Stirling,2017-18,5.353546
Stirling,2018-19,0.870395924
West Dunbartonshire,2008-09,-0.614844093
West Dunbartonshire,2009-10,-3.204845815
West Dunbartonshire,2010-11,-1.909281536
West Dunbartonshire,2011-12,-3.099402258
West Dunbartonshire,2012-13,-4.721603563
West Dunbartonshire,2013-14,-1.092408873
West Dunbartonshire,2014-15,0.881794843
West Dunbartonshire,2015-16,3.214644492
West Dunbartonshire,2016-17,-1.071309006
West Dunbartonshire,2017-18,-2.37855
West Dunbartonshire,2018-19,-0.685932756
West Lothian,2008-09,1.346509478
West Lothian,2009-10,1.16606353
West Lothian,2010-11,1.249286937
West Lothian,2011-12,0.874950287
West Lothian,2012-13,-2.196866485
West Lothian,2013-14,2.505643341
West Lothian,2014-15,4.984598152
West Lothian,2015-16,6.311957435
West Lothian,2016-17,4.335116651
West Lothian,2017-18,3.189854
West Lothian,2018-19,3.855816494
,,
© Crown Copyright 2020,,
